alpha	RSME	lambda	SE
0.0	0.235702260396	0.0	1.96754058881e-18
0.05	0.174767330986	0.0	0.0001903736991
0.1	0.130227815499	0.0	0.000698462596887
0.15	0.101163019344	0.0	0.00146170166422
0.2	0.08788168368	0.0	0.00235446487781
0.25	0.0912740630872	0.0	0.00343985398473
0.3	0.113081891482	0.0	0.0056282967079
0.35	0.163764279456	0.0	0.0124522362544
0.4	0.296952489398	0.0	0.0387056725271
0.45	0.641276640701	0.0	0.127672488043
0.5	1.4292510215	0.0	0.379817831963
0.55	3.16263214146	0.0	1.00707629555
0.6	6.67506691781	0.0	2.42623424151
0.0	0.235702260396	0.3	1.96754058881e-18
0.05	0.165682432569	0.3	0.000285748749525
0.1	0.119164095353	0.3	0.00105008484545
0.15	0.0934684484592	0.3	0.00205971714421
0.2	0.0865655358152	0.3	0.00296942059284
0.25	0.0952757737892	0.3	0.00360521358702
0.3	0.113667186282	0.3	0.00445600885447
0.35	0.140233296726	0.3	0.0067152966603
0.4	0.18400357825	0.3	0.0131561726445
0.45	0.272231087378	0.3	0.0310610200643
0.5	0.444503386601	0.3	0.0756182449573
0.55	0.765463256205	0.3	0.172831457088
0.6	1.35082623736	0.3	0.36695598242
0.0	0.235702260396	0.8	1.96754058881e-18
0.05	0.151404144232	0.8	0.00120163412477
0.1	0.119428265222	0.8	0.00297265580778
0.15	0.121346710093	0.8	0.00424848154103
0.2	0.140178096185	0.8	0.00496422089775
0.25	0.164932715808	0.8	0.0054217703175
0.3	0.192969912254	0.8	0.00584711631954
0.35	0.225654220796	0.8	0.00674208430994
0.4	0.266679395798	0.8	0.00942074402729
0.45	0.32191029362	0.8	0.0160828214473
0.5	0.396907977905	0.8	0.0297259519835
0.55	0.499544829651	0.8	0.0543925779617
0.6	0.652662886717	0.8	0.0963523533329
0.0	0.235702260396	1.0	1.96754058881e-18
0.05	0.176624672463	1.0	0.00407021723446
0.1	0.196028274697	1.0	0.00640490557756
0.15	0.241496721627	1.0	0.00776987577957
0.2	0.29290076011	1.0	0.00960672531678
0.25	0.347653826907	1.0	0.0129350666803
0.3	0.412163746545	1.0	0.0187530364232
0.35	0.509209573229	1.0	0.0293312162574
0.4	0.670079076552	1.0	0.0529142591843
0.45	0.91595900382	1.0	0.101676668322
0.5	1.27246504213	1.0	0.184489272877
0.55	1.7960966772	1.0	0.309770695425
0.6	2.61141139841	1.0	0.501265344494
